verse_no,en,hmr
1,"The fool hath said in his heart, There is no God. They are corrupt, they have done abominable works; There is none that doeth good.","Mi invêt chun a lungrilin, “Pathien hrim a um nawh,” a ti hlak a. An se zo a, thil ṭha thaw hrim an um nawh."
2,"Jehovah looked down from heaven upon the children of men, To see if there were any that did understand, That did seek after God.","“Hrethiema Pathien zawng hrim hrim an um am?” ti hre dingin, LALPA chun vâna inthawkin mihriem nauhai hi a zuk en a."
3,"They are all gone aside; they are together become filthy; There is none that doeth good, no, not one.","Anaw tieng an lo pêt vawng tah a, pawrchetakin an lo um ta vawng a, Tukhawm thil ṭha thaw hrim an um nawh, pakhat bêk khawm an um dêr nawh."
4,"Have all the workers of iniquity no knowledge, Who eat up my people as they eat bread, And call not upon Jehovah?","Thil suksuoltuhai hrim hrim chun hrietna hrim an nei naw am a nih? Bei an fâk angin ka mihai an fâk zo vawng hlak a, LALPA hlak an ko ngai bawk nawh."
5,There were they in great fear; For God is in the generation of the righteous.,"Chutaka chun ṭi bêk bêkin an um a, Pathien chu mi fel thlahai lai chun a um hlak leiin."
6,"Ye put to shame the counsel of the poor, Because Jehovah is his refuge.","Mi rimsi remruot chu in sukmuolpho hlak a, LALPA chu ân humhimna a ni leiin."
7,"Oh that the salvation of Israel were come out of Zion! When Jehovah bringeth back the captivity of his people, Then shall Jacob rejoice, and Israel shall be glad.","Israelhai sandamna chu Ziona inthawkin hung suok sienla chu aw! LALPA chun a mihai sala an um chu a ṭhuoi kîr nâwk pha chun, Chu pha chun Jakob rawi hlim tâng an ta, Israel lâwm tâng an tih."
